ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
PG,Ridge (returns),10,3528,252,1000.0,0.0003820950509867295,0.007557086632510946,0.0008130100767395638,0.13285423084906206,,,,
PG,Ridge (returns),11,3780,252,1000.0,0.0003646834087657916,0.007446183361580475,0.0007332948131675227,0.14821002375536008,,,,
PG,Logistic (direction),0,1008,252,,0.06738111561399276,0.03703746187251999,,,0.0001,0.5156830477080935,0.003114326297367698,False
PG,Logistic (direction),1,1260,252,,0.0571552202612499,0.2749750993649012,,,0.001,0.5233168715455283,0.023765664733657828,False
PG,Logistic (direction),2,1512,252,,0.034323008169132085,0.04294201456758502,,,0.0001,0.507432643252331,0.0024575792012250662,False
PG,Logistic (direction),3,1764,252,,0.04070599860652781,0.05123510475133378,,,0.0001,0.5085962009206635,0.00504403737008536,False
PG,Logistic (direction),4,2016,252,,0.03360303772862633,0.04824991944459574,,,0.0001,0.50858811815192,0.005029469488759824,False
PG,Logistic (direction),5,2268,252,,0.04932979271531923,0.04757433094788957,,,0.0001,0.51416267563974,0.009605688424614569,False
PG,Logistic (direction),6,2520,252,,0.07309922924664189,0.05719607728869337,,,0.0001,0.5220432337415007,0.009112776391713522,False
PG,Logistic (direction),7,2772,252,,0.0751525331490366,0.05559072712250714,,,0.0001,0.5190738359662911,0.005361180187762403,False
PG,Logistic (direction),8,3024,252,,0.09139045644432522,0.06073627132671147,,,0.0001,0.5236708877916906,0.007010405461179766,False
PG,Logistic (direction),9,3276,252,,0.08685186143322517,0.0644116882232866,,,0.0001,0.51903327748595,0.004732975022673208,False
PG,Logistic (direction),10,3528,252,,0.09422749930211524,0.06298392911701578,,,0.0001,0.5220390529125492,0.0047880914807509984,False
PG,Logistic (direction),11,3780,252,,0.10168989591862766,0.06545417378699335,,,0.0001,0.5272687651402062,0.006846595175732085,False
KO,Ridge (returns),0,1008,252,10000.0,0.00046930316120157375,0.001015827958524511,8.34132728546991e-05,0.054916020314049824,,,,
KO,Ridge (returns),1,1260,252,10000.0,0.00044339011910942067,0.000998120767168926,0.0001037692297462813,0.0537007631455307,,,,
KO,Ridge (returns),2,1512,252,10000.0,0.00047009466106041605,0.0009769481759129297,6.37578615507825e-05,0.03500252256373162,,,,
