ticker,regime,fold_id,n_train,n_test,train_mean_bps,test_mean_bps,train_std_bps,test_std_bps,ks_stat,ks_p,ks_reject_5pct,test_outside_train_range
AMZN,full,4,2016,252,12.209941057727486,6.003583229909177,195.12232209808204,231.56045224014315,0.06101190476190475,0.36359391587861395,False,0.0
AMZN,full,5,2268,252,11.52034574352545,1.8054552750007873,199.50946696876636,173.50012311504156,0.08906525573192248,0.052090201008588195,False,0.0
AMZN,full,6,2520,252,10.548856696672987,19.504982241269342,197.0846215714255,217.32191459919108,0.07896825396825395,0.10990938446600926,False,0.0
AMZN,full,7,2772,252,11.363049927999924,1.8906417770762136,199.02608676264055,195.66486716351278,0.04689754689754688,0.6750740865905533,False,0.0
AMZN,full,8,3024,252,10.573682582089615,-18.718548255137385,198.76539874962364,303.1212310834562,0.17394179894179893,1.2953016950308576e-06,True,0.003968253968253968
AMZN,full,9,3276,252,8.320434056149079,22.67357918336636,208.7999995811558,187.37076961713996,0.06440781440781451,0.275964308686446,False,0.0
AMZN,full,10,3528,252,9.34565870809317,5.707999397246683,207.3757494793868,177.47974258059028,0.0300453514739229,0.9801362690178458,False,0.0
AMZN,full,11,3780,252,9.103148087370071,0.3514530645025515,205.52002822606534,218.73040596330864,0.05582010582010577,0.43949939794520054,False,0.0
TSLA,full,0,1008,252,25.783348967730912,-4.894768328304569,359.1405659720364,252.9373000296499,0.10515873015873023,0.022111789611521302,True,0.0
TSLA,full,1,1260,252,19.647725508523823,-9.725569202226348,340.7808620676376,262.41895627514094,0.09365079365079354,0.048114495435616925,True,0.0
TSLA,full,2,1512,252,14.752176390065463,24.842218589458284,329.2012252927487,217.82175025992743,0.08597883597883596,0.07866744210072937,False,0.0
TSLA,full,3,1764,252,16.193610989978723,-10.456915045577608,315.7246223502431,296.36966662758846,0.08446712018140584,0.08235556133798122,False,0.0
TSLA,full,4,2016,252,12.862295235534177,-5.078758388937712,313.4945590885707,353.08789845752773,0.04910714285714285,0.6384597330103666,False,0.0
TSLA,full,5,2268,252,10.868844832815078,80.37549463944956,318.18720720614834,544.1297025284138,0.1313932980599648,0.0007261604530197722,True,0.003968253968253968
TSLA,full,6,2520,252,17.81950981347853,27.375738688108367,348.0823292801724,358.8526230730199,0.080952380952381,0.09491773896043022,False,0.0
TSLA,full,7,2772,252,18.68825789299033,6.552188444496836,349.08598891342626,401.5567880177516,0.08477633477633476,0.06883442068773996,False,0.0
TSLA,full,8,3024,252,17.67691877228254,-2.248139352377883,353.7718389861018,385.5539196203322,0.07903439153439157,0.10450335049623093,False,0.0
TSLA,full,9,3276,252,16.14422199346251,-7.800215656620895,356.35682878895494,340.36750545242705,0.08394383394383392,0.07034689606982401,False,0.0
TSLA,full,10,3528,252,14.433905018456548,24.156590489590787,355.2921217415812,438.8730434467673,0.10147392290249446,0.014772087701492399,True,0.0
HD,full,0,1008,252,9.896990805091894,15.685429048690764,135.16028372404656,116.42793551652613,0.045634920634920584,0.7849207526662364,False,0.0
HD,full,1,1260,252,11.05467845381167,5.566583254848351,131.64761917174147,132.15081580931258,0.05238095238095247,0.5996406390041191,False,0.0
HD,full,2,1512,252,10.139995920651119,6.163785783902585,131.74749561889232,93.21268864707436,0.08796296296296291,0.06768939606646274,False,0.0
HD,full,3,1764,252,9.571965901115613,7.585231704067339,126.96825957483946,108.3026210862113,0.06462585034013602,0.3060070561372427,False,0.0
HD,full,4,2016,252,9.323624126484578,2.9225606002723734,124.78956488528179,131.0853841054063,0.04861111111111113,0.650989465165089,False,0.003968253968253968
HD,full,5,2268,252,8.612394845794332,-4.680607479082048,125.52081852584577,233.96760477527968,0.059523809523809534,0.3857660024347433,False,0.023809523809523808
HD,full,6,2520,252,7.2830946133066945,24.105512998760233,140.24947648907445,196.578109334337,0.12142857142857144,0.0021490245771590196,True,0.003968253968253968
HD,full,7,2772,252,8.812405375620653,7.333015852909065,146.34932576758914,142.1731738778311,0.04942279942279948,0.610376083353613,False,0.0
HD,full,8,3024,252,8.68912291539469,-5.442851520026718,146.00644799117126,190.7744639075053,0.14153439153439157,0.00016066266255157735,True,0.0
HD,full,9,3276,252,7.602047958823811,13.39971019900273,149.97277715154917,121.34636202248846,0.030525030525030528,0.9773931288607289,False,0.0
HD,full,10,3528,252,8.016166690265162,-2.6182602467812637,148.11915861131604,137.41482059562742,0.1062925170068027,0.00918270220511032,True,0.0
HD,full,11,3780,252,7.307204894462068,-2.7604661311867527,147.45358063276004,145.97859841359895,0.10952380952380952,0.006424909431319534,True,0.0
MCD,full,0,1008,252,5.087764307149521,1.225662735677772,91.82898690947225,90.96450209929343,0.07043650793650791,0.262595274179163,False,0.003968253968253968
MCD,full,1,1260,252,4.31534399285517,10.775974647826615,91.669760174543,117.95831726273114,0.10000000000000009,0.028590508511977485,True,0.003968253968253968
MCD,full,2,1512,252,5.392115768683744,2.9237357038529717,96.57956338986605,82.59791057902761,0.05753968253968256,0.46002743245715666,False,0.003968253968253968
MCD,full,3,1764,252,5.039490045136491,9.379527879738909,94.71258002528498,103.15937443750165,0.08333333333333337,0.08962566154324259,False,0.003968253968253968
