model,ticker,n_folds,n_days,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,worst_fold_r2,directional_accuracy,majority_class_rate,pt_p_value,rmse_bps,excluded_fraction,da_minus_majority_pooled,da_minus_majority_fold_median
Tree Ensemble,NEE,12,3024,-0.07286258622892716,-0.04807237391269792,0.07178360236680038,-0.024387036769899506,-0.02791491468375679,6,-0.2698044254310503,0.5142857142857142,0.5503571428571429,0.06110844563673589,157.87082052526353,0.07407407407407407,-0.03607142857142864,-0.027320233744681593
Tree Ensemble,NFLX,12,3024,-0.10623470611611108,-0.09573279882142516,0.1201749355377318,-0.10728412651258012,-0.07990648123112419,2,-0.269822292314736,0.5020775623268698,0.5138504155124654,0.5262897768196574,286.2361738585877,0.04497354497354497,-0.011772853185595511,-0.01862351635214754
Tree Ensemble,NKE,12,3024,-0.11184773512605717,-0.09406529545860498,0.14756998037462904,-0.0777507061433389,-0.05430252344940885,6,-0.5314557875597625,0.4925160370634355,0.50784034212402,0.9267019735940956,202.95548649862968,0.07208994708994709,-0.015324305060584464,-0.03007005899705012
Tree Ensemble,NVDA,12,3024,-0.04782108837178245,-0.04509598404116541,0.09158996472580484,-0.021697806634777717,-0.019566103540995274,6,-0.3259246695430369,0.5097904500171763,0.5465475781518379,0.3916093519293887,302.93565057167274,0.03736772486772487,-0.03675712813466159,-0.022938899351328756
Tree Ensemble,ORCL,12,3024,-0.04934937314798127,-0.053873024766905114,0.06545463233261996,-0.036052318167633435,-0.04014786632163385,6,-0.20484976766488905,0.4992872416250891,0.5367070563079116,0.5793670175200979,203.18544848878312,0.07208994708994709,-0.037419814682822516,-0.04473352359461075
Tree Ensemble,PFE,12,3024,-0.08267107054712386,-0.07196087677320767,0.06736684952848072,-0.05842604412556984,-0.05398122826373934,6,-0.2697370103773593,0.5030586541921555,0.5023389708528248,0.491692372750962,150.66943080670933,0.08101851851851852,0.0007196833393307012,-0.0363903154805576
Tree Ensemble,PG,12,3024,-0.06827500586755186,-0.05993915724646375,0.09437086730380158,-0.025802148969174543,-0.03442620031899779,6,-0.3405816834485893,0.5060998151571164,0.5275415896487985,0.22423999819933926,118.27162281982088,0.105489417989418,-0.021441774491682053,-0.03079955172547047
Tree Ensemble,TSLA,11,2772,-0.03386129120931458,-0.03874781447634707,0.05149403863318921,-0.03037531416057626,-0.031831294770581296,1,-0.10791301153400479,0.5187802156935664,0.5172926738564522,0.056754760650504214,368.4794897827136,0.029942279942279944,0.0014875418371141924,-0.01200000000000001
Tree Ensemble,UNH,12,3024,-0.087929256729113,-0.06298642348063432,0.1096017051869488,-0.03405776760286894,-0.03249528272403374,6,-0.39838897180324073,0.5121951219512195,0.5291622481442205,0.13036704573535352,191.75912848802432,0.06448412698412699,-0.016967126193001003,-0.01928579289094312
Tree Ensemble,WMT,12,3024,-0.03176951011643636,-0.03530719647010069,0.03039177346304711,-0.01961823282568953,-0.03034293250435126,1,-0.08991410009334433,0.4978102189781022,0.537956204379562,0.6531345671823949,135.32013162836637,0.09391534391534391,-0.04014598540145986,-0.05937694704049845
