ticker,fold_id,n,r2_oos,DA,da_minus_majority,ks_stat,ks_p,ks_reject_5pct,test_outside_train_range
AVGO,1,252,0.03480608257283235,58.15899581589959,6.694560669456062,0.0904761904761904,0.0616215533252899,False,0.0
AVGO,2,252,-0.06833445397493221,55.932203389830505,0.0,0.0998677248677248,0.0255587698271547,True,0.0
AVGO,3,252,-0.08726721927755543,49.789029535864984,-1.2658227848101222,0.0697278911564625,0.2260330898539985,False,0.0
AVGO,4,252,-0.016339928646137647,54.50819672131148,-0.4098360655737765,0.0307539682539682,0.9806787532144065,False,0.0039682539682539
AVGO,5,252,-0.10927244185129514,50.0,-2.066115702479343,0.0348324514991181,0.9389233132688062,False,0.0119047619047619
AVGO,6,252,-0.8514911167748493,43.80165289256198,-14.876033057851245,0.0888888888888889,0.0509038761908713,False,0.0
AVGO,7,252,-0.013930866081656612,53.58649789029536,-0.8438818565400852,0.0465367965367965,0.6843039541967885,False,0.0
AVGO,8,252,-0.0799461254265792,53.941908713692946,2.904564315352698,0.1005291005291005,0.0170680902982337,True,0.0
AVGO,9,252,-0.026857788631786228,53.21888412017167,-0.42918454935622075,0.0421245421245421,0.7868332974529556,False,0.0
AVGO,10,252,0.009817130374796035,51.85185185185185,1.6460905349794164,0.1026077097505669,0.0132350227364696,True,0.0039682539682539
AVGO,11,252,-0.0023845941064841725,50.62240663900415,-3.734439834024894,0.0703703703703705,0.1847629411887144,False,0.0
BA,0,252,0.001900501718298253,56.76855895196506,1.7467248908296984,0.0624999999999998,0.4007965392025766,False,0.0
BA,1,252,-0.035751028144126895,54.04255319148936,2.9787234042553234,0.0412698412698411,0.8572399760733236,False,0.0039682539682539
BA,2,252,-0.046049200373645904,47.80701754385965,-9.649122807017546,0.083994708994709,0.0911120868707864,False,0.0
BA,3,252,-0.01052466215076353,52.78969957081545,-7.296137339055797,0.1014739229024943,0.0201791697536242,True,0.0039682539682539
BA,4,252,-0.01566300970438217,44.72573839662447,-6.7510548523206815,0.1046626984126984,0.0139196397883555,True,0.0
BA,5,252,-0.16991137110017474,44.35146443514644,-8.786610878661088,0.1552028218694885,3.1708550352454766e-05,True,0.0238095238095238
BA,6,252,-0.9354023714654092,51.417004048582996,-0.8097165991902799,0.225,1.1945410489196682e-10,True,0.0515873015873015
BA,7,252,-0.035393083581080065,49.159663865546214,-5.882352941176477,0.1132756132756132,0.004952731177745,True,0.0
BA,8,252,-0.08986078967826705,42.67782426778243,-10.460251046025103,0.1177248677248677,0.0029282928389826,True,0.0
BA,9,252,-0.0696041981457789,47.21030042918455,-4.29184549356223,0.0317460317460317,0.9674015913967186,False,0.0
BA,10,252,-0.05485815862929444,48.148148148148145,-2.880658436213995,0.0850340136054421,0.0633381561177061,False,0.0
