ticker,model,n,DA,majority,DA_minus_majority,PT_p,R2_OOS,RMSE_bps,alpha_ann,t_alpha,p_alpha,beta,exposure
BA,Tree Ensemble,3024,48.85523071504051,51.743571680169076,-2.8883409651285663,0.7601899170111985,-0.3433667012136761,283.85744218414226,-0.1473049029202629,-2.64275437817902,0.008265905537015361,0.4533729105488745,0.5062830687830688
BA,Zero return,3024,48.256428319830924,51.743571680169076,-3.487143360338152,,0.0004210712082659551,244.8564461545688,0.0,,,0.0,0.0
BAC,AR(1) returns,3024,49.982425307557115,51.3884007029877,-1.4059753954305865,0.6382248250351462,-0.0028694281595280646,189.97510344982365,-0.10270928882160872,-2.456901866213469,0.014069924944384285,0.6388627172220885,0.595568783068783
BAC,"ARIMA(5, 0, 0) returns",3024,50.755711775043935,51.3884007029877,-0.6326889279437697,0.21746350569959794,-0.019033735258133344,191.49999824605976,-0.05531688655218716,-1.2888015854534187,0.1975657245799881,0.5820675514165611,0.5453042328042328
BAC,Historical mean,3024,50.123022847100174,51.3884007029877,-1.2653778558875284,0.8218729312912962,0.0,189.70312866342454,-0.004355608149545506,-0.14577621186206477,0.8841077778197365,0.8635998432694447,0.8482142857142857
BAC,Random sign,3024,50.68541300527241,51.3884007029877,-0.702987697715296,0.30402993188085514,-1.3345229962246732,289.8501781708109,0.01472793434194046,0.3394087612516849,0.7343254038454796,0.46219767370302683,0.49834656084656087
BAC,Tree Ensemble,3024,50.26362038664324,51.3884007029877,-1.1247803163444647,0.31761923120019886,-0.10545620016380464,199.45515414237354,-0.019554056487867625,-0.45019845982475964,0.6525996396133324,0.47060958278634557,0.49933862433862436
BAC,Zero return,3024,48.611599297012305,51.3884007029877,-2.776801405975399,,5.247205782321629e-05,189.6981515413655,0.0,,,0.0,0.0
BRK-B,AR(1) returns,3024,51.88024826579043,52.354874041621024,-0.47462577583059495,0.11594056628896232,0.0003722163332546824,119.04191542994276,-0.02550030216724885,-0.9515316585664593,0.3414106502654699,0.5995622142469137,0.6061507936507936
BRK-B,"ARIMA(5, 0, 0) returns",3024,51.186564439576486,52.354874041621024,-1.1683096020445372,0.27816674220604287,-0.007770870558974963,119.52579679507022,-0.016844892411359075,-0.6296315411623834,0.5289832796380849,0.6016165895183195,0.5873015873015873
BRK-B,Historical mean,3024,52.354874041621024,52.354874041621024,0.0,,0.0,119.06407628924251,-3.192048326830896e-05,-1.0203638642513497,0.3076376014496877,1.000005144807581,1.0
BRK-B,Random sign,3024,51.69769989047097,52.354874041621024,-0.6571741511500528,0.014107834716416696,-0.9529014902882658,166.3875839002344,0.013615728384975948,0.49873680667056336,0.6180011102039128,0.48207880916309853,0.49834656084656087
BRK-B,Tree Ensemble,3024,49.835706462212485,52.354874041621024,-2.5191675794085375,0.6915729207528464,-0.20655808494069827,130.78407469844257,-0.05339003621733574,-1.9713914537237813,0.04877021128834885,0.5668007488475874,0.5248015873015873
BRK-B,Zero return,3024,47.64512595837897,52.354874041621024,-4.709748083242054,,-0.0009718013239312651,119.12191555407153,0.0,,,0.0,0.0
CAT,AR(1) returns,3024,52.256699576868826,52.29196050775741,-0.035260930888580955,0.3577505730451829,-0.0009052771788755631,186.40657026354774,-0.0033528690599840066,-0.19609811703138247,0.8445465549671072,0.9583629488061565,0.9775132275132276
CAT,"ARIMA(5, 0, 0) returns",3024,51.939351198871655,52.29196050775741,-0.35260930888575404,0.10864556258286728,-0.005982688039691597,186.87877552230128,-0.00843241250468931,-0.2168028921549503,0.8283765923065616,0.7082022615994618,0.7152777777777778
CAT,Historical mean,3024,52.29196050775741,52.29196050775741,0.0,,0.0,186.32225270027922,-3.165050037649101e-05,-1.011394603305026,0.3119085731659912,1.0000017065896154,1.0
CAT,Random sign,3024,50.84626234132581,52.29196050775741,-1.445698166431597,0.24204249592456778,-0.8349637818590427,252.3936792964983,0.03738776507539532,0.8745728175239684,0.3818758814489633,0.49400997595147067,0.49834656084656087
CAT,Tree Ensemble,3024,51.093088857545844,52.29196050775741,-1.1988716502115637,0.17429255370150187,-0.11289790968380209,196.55875364618092,-0.015019712591992982,-0.35163032084589485,0.7251400378815516,0.4789980778012513,0.49437830687830686
CAT,Zero return,3024,47.70803949224259,52.29196050775741,-4.583921015514814,,-0.0012054223197772718,186.43451737991884,0.0,,,0.0,0.0
CRM,AR(1) returns,3024,52.916373858046384,52.63527758257203,0.28109627547435734,0.12586166387091058,0.00027138573655050013,219.16334202368216,0.011075130430963408,0.2953701553449098,0.7677314209196743,0.8333156840154053,0.9315476190476191
CRM,"ARIMA(5, 0, 0) returns",3024,52.98664792691496,52.63527758257203,0.35137034434293835,0.03681311274648102,-0.002406344869879229,219.4566555967968,0.020915836907607246,0.48862300891340676,0.6251440752949096,0.7622061178747233,0.7946428571428571
CRM,Historical mean,3024,52.63527758257203,52.63527758257203,0.0,,0.0,219.19308698058686,-3.2085835860365205e-05,-1.0263191132008977,0.30482333240301446,1.0000053532730082,1.0
CRM,Random sign,3024,51.08924806746311,52.63527758257203,-1.5460295151089154,0.12041177450331314,-1.0848624762520318,316.4940570456096,-0.03201837170906045,-0.6389270919653943,0.5229187841752835,0.5419370530952107,0.49834656084656087
CRM,Tree Ensemble,3024,51.159522136331695,52.63527758257203,-1.4757554462403344,0.16790666412645766,-0.0858920476726901,228.41266416601405,-0.030852849928958207,-0.6230058961285895,0.5333276585328255,0.5878397960593047,0.5515873015873016
CRM,Zero return,3024,47.36472241742797,52.63527758257203,-5.270555165144058,,0.00042660129856475493,219.14632796541957,0.0,,,0.0,0.0
DIS,AR(1) returns,3024,50.71479628305933,50.39313795568263,0.32165832737669486,0.18789884084685443,0.0005353675831134552,172.39541679228265,0.007450996492706272,0.222685472268519,0.8237953580076748,0.766728960926001,0.8389550264550265
DIS,"ARIMA(5, 0, 0) returns",3024,50.60757684060043,50.39313795568263,0.21443888491780028,0.2189707091704181,-0.005433305967858404,172.90941212504458,-0.03162482839169119,-0.8938940916394702,0.3714497413113988,0.7240180738711809,0.7447089947089947
DIS,Historical mean,3024,50.39313795568263,50.39313795568263,0.0,,0.0,172.4415827887573,-3.169142500323047e-05,-1.0140523694442936,0.3106389440694114,1.0000075643780766,1.0
DIS,Random sign,3024,52.072909220872056,50.39313795568263,1.6797712651894225,0.020766616822272432,-0.6933179658700532,224.3940094463191,0.020019145393200925,0.5064481341020897,0.6125790367262542,0.4854900424969582,0.49834656084656087
DIS,Tree Ensemble,3024,50.10721944245889,50.39313795568263,-0.2859185132237374,0.7497683889378474,-0.14951750532561858,184.88419858457942,-0.0806654710156431,-2.0425573143365043,0.04118288832341253,0.4721299799596156,0.52744708994709
DIS,Zero return,3024,49.60686204431737,50.39313795568263,-0.786275911365264,,0.000983593984752007,172.35675567298935,0.0,,,0.0,0.0
GOOGL,AR(1) returns,3024,54.18284504059301,53.93575714789976,0.24708789269325404,0.041401343137229187,-0.0006601533852192976,178.06135863172395,0.03578275959749549,1.1984310552170578,0.23084322188817935,0.8416582026043572,0.906415343915344
GOOGL,"ARIMA(5, 0, 0) returns",3024,53.40628309212848,53.93575714789976,-0.5294740557712729,0.17601909192401127,-0.0012853927217106875,178.11697870420096,0.005318539796771741,0.15412718261152672,0.8775197473673717,0.7697230587061316,0.8353174603174603
GOOGL,Historical mean,3024,53.93575714789976,53.93575714789976,0.0,,0.0,178.0026138112297,-3.2204324900121284e-05,-1.0291266737401916,0.3035025130300862,1.000004217943819,1.0
GOOGL,Random sign,3024,50.75891281327215,53.93575714789976,-3.1768443346276043,0.17788702737435447,-0.767894575780457,236.67618555043882,0.015078399679751095,0.3694551585694902,0.7118143762651468,0.5409725817456074,0.49834656084656087
GOOGL,Tree Ensemble,3024,51.07659724673491,53.93575714789976,-2.8591599011648428,0.09064654846328213,-0.08178132252293402,185.1382349648487,0.040271781356722325,0.9907330511714346,0.321895265580586,0.43844430697477316,0.47685185185185186
GOOGL,Zero return,3024,46.06424285210024,53.93575714789976,-7.871514295799509,,-0.0013062504459264712,178.11883386732418,0.0,,,0.0,0.0
GS,AR(1) returns,3024,50.529661016949156,52.436440677966104,-1.906779661016944,0.31839888180265996,-0.004245389692407064,180.00681891603864,-0.05236075097588247,-1.2826722457301654,0.19970529874670243,0.5721166263827285,0.5588624338624338
